Unnamed: 0,gender,sex,Slide,Array
GSM2404042,F,2,9373550164,R05C02
GSM2404056,F,2,9373551023,R03C02
GSM2404067,M,1,9374341006,R04C02
GSM2404131,M,1,9406921073,R04C01
GSM2404132,M,1,9406921073,R06C01
GSM2404137,F,2,9406922158,R06C01
GSM2404200,F,2,9376561024,R03C01
GSM2404208,M,1,9379082092,R03C02
GSM2404287,M,1,9407201028,R01C02
GSM2404344,M,1,9407210003,R06C01
GSM2404366,M,1,9407210090,R01C02
GSM2404368,M,1,9407210090,R04C02
GSM2404480,M,1,9444374134,R02C01
GSM2404486,F,2,9444375019,R04C01
GSM2404487,M,1,9444375019,R05C01
GSM2404488,M,1,9444375004,R06C01
GSM2404489,F,2,9444375004,R01C02
GSM2404491,F,2,9444375004,R05C02
GSM2404493,F,2,9444375014,R03C01
GSM2404499,F,2,9444375017,R01C01
GSM2404500,M,1,9444375017,R03C01
GSM2404518,F,2,9444375037,R04C02
GSM2404527,M,1,9444375114,R06C01
GSM2404528,M,1,9444374168,R06C02
GSM2404539,M,1,9610361003,R05C02
GSM2404546,F,2,9553932029,R05C02
GSM2404569,F,2,9611518113,R02C02
GSM2404570,F,2,9611518110,R04C02
GSM2404571,M,1,9611518113,R01C02
GSM2404573,M,1,9611518110,R05C02
GSM2404574,M,1,9611518113,R03C01
GSM2404577,M,1,9611518099,R06C01
GSM2404579,M,1,9611518099,R03C02
GSM2404580,M,1,9611518099,R04C02
GSM2404582,F,2,9611518109,R01C02
GSM2404592,F,2,9611518116,R01C02
GSM2404593,M,1,9611518117,R06C02
GSM2404597,F,2,9611518116,R01C01
GSM2404598,M,1,9611518117,R05C01
GSM2404600,F,2,9611518116,R02C02
GSM2404602,F,2,9611518117,R01C02
GSM2404603,F,2,9611518117,R04C01
GSM2404604,M,1,9611518115,R03C02
GSM2404613,F,2,9741950008,R06C02
GSM2404614,M,1,9741950021,R02C01
GSM2404617,F,2,9741950021,R01C02
GSM2404628,F,2,9741950008,R02C02
GSM2404631,M,1,9721365095,R06C01
GSM2404632,M,1,9721365095,R02C01
GSM2404633,M,1,9721365103,R03C01
GSM2404634,M,1,9721365105,R01C01
GSM2404635,M,1,9721365137,R03C01
GSM2404636,F,2,9721365103,R01C01
GSM2404637,M,1,9721365095,R03C02
GSM2404640,F,2,9721365104,R02C02
GSM2404641,F,2,9721365137,R06C01
GSM2404642,M,1,9721365103,R03C02
GSM2404645,M,1,9721365105,R05C02
GSM2404647,F,2,9721365137,R03C02
GSM2404648,F,2,9741950025,R05C01
GSM2404652,F,2,9741950030,R01C01
GSM2404654,F,2,9741950099,R02C01
GSM2404659,F,2,9741950109,R06C01
GSM2404661,M,1,9741950109,R02C02
GSM2404662,M,1,9741950109,R03C02
GSM2404666,F,2,9741950099,R01C02
GSM2404667,M,1,9741950099,R04C02
GSM2404670,M,1,9741950100,R06C01
GSM2404671,M,1,9741950100,R02C02
GSM2404672,M,1,9741950100,R04C02
GSM2404674,F,2,9741950100,R06C02
GSM2404685,M,1,9741950075,R01C01
GSM2404686,F,2,9647455008,R06C01
GSM2404687,F,2,9647455008,R02C02
GSM2404701,M,1,9513149129,R05C01
GSM2404702,M,1,9513149129,R02C02
GSM2404714,F,2,9721366149,R05C01
GSM2404715,F,2,9721366149,R02C02
GSM2404716,F,2,9721366150,R01C01
GSM2404736,F,2,9741779119,R06C01
GSM2404738,F,2,9741779119,R05C02
GSM2404815,F,2,9533774046,R05C01
GSM2404827,M,1,9533774033,R05C01
GSM2404829,M,1,9533774033,R05C02
GSM2404830,M,1,9533774041,R03C01
GSM2404846,M,1,9533774088,R02C01
GSM2404848,M,1,9533774097,R01C01
GSM2404868,F,2,9534104007,R04C01
GSM2404869,F,2,9534104007,R02C02
GSM2404870,M,1,9534104007,R03C02
GSM2404872,M,1,9534104008,R02C02
GSM2404874,M,1,9534104008,R06C02
GSM2404876,F,2,9534104010,R02C01
GSM2404891,M,1,9968646118,R03C02
GSM2404905,M,1,9968646167,R05C02
GSM2404911,M,1,9968646164,R06C02
GSM2404912,M,1,9968646165,R02C01
GSM2404923,F,2,9969477014,R02C02
GSM2404995,M,1,9969477031,R06C02
GSM2404998,M,1,9969477017,R04C02
GSM2404999,M,1,9969477018,R03C01
GSM2405000,M,1,9969477018,R05C02
GSM2405001,F,2,9969477022,R01C01
GSM2405003,F,2,9969477022,R04C01
GSM2405005,F,2,9969477032,R06C01
GSM2405006,M,1,9969477031,R04C01
GSM2405007,F,2,9969477029,R03C02
GSM2405008,F,2,9969477031,R04C02
GSM2405009,M,1,9969477029,R06C02
GSM2405025,F,2,9969477058,R03C01
GSM2405026,M,1,9969477058,R05C01
GSM2405027,F,2,9969477063,R02C02
GSM2405028,M,1,9969477064,R01C02
GSM2405030,F,2,9969477064,R06C02
GSM2405031,F,2,9969477065,R01C01
GSM2405036,M,1,9969477074,R06C01
GSM2405037,M,1,9969477074,R03C02
GSM2405055,M,1,9969477086,R01C01
GSM2405056,M,1,9969477086,R03C02
GSM2405058,F,2,9969477088,R05C01
GSM2405059,F,2,9969477088,R02C02
GSM2405060,M,1,9969477088,R06C02
GSM2405067,M,1,9969477100,R06C01
GSM2405069,F,2,9969477100,R02C02
GSM2405074,M,1,9969477101,R02C02
GSM2405077,F,2,9969477102,R06C02
GSM2405087,F,2,9969477121,R05C01
GSM2405088,M,1,9969477121,R01C01
GSM2405104,F,2,9855358001,R06C01
GSM2405110,M,1,9855358032,R01C01
GSM2405111,F,2,9855358032,R03C01
GSM2405112,M,1,9855358026,R03C01
GSM2405115,M,1,9855358026,R01C02
GSM2405130,F,2,9855358058,R05C02
GSM2405131,F,2,9855358065,R05C02
GSM2405132,M,1,9855358065,R01C01
GSM2405133,F,2,9855358066,R02C02
GSM2405134,M,1,9855358068,R03C01
GSM2405135,M,1,9855358065,R03C02
GSM2405136,F,2,9855358066,R02C01
GSM2405138,F,2,9855358068,R05C01
GSM2405140,M,1,9855358065,R05C01
GSM2405142,F,2,9878820008,R06C01
GSM2405143,M,1,9878820030,R04C02
GSM2405148,M,1,9878820018,R01C01
GSM2405149,M,1,9878820018,R03C01
GSM2405150,M,1,9878820018,R03C02
GSM2405151,F,2,9878820018,R06C02
GSM2405157,F,2,9878820030,R01C01
GSM2405162,F,2,9878820078,R05C02
GSM2405163,F,2,9878820082,R05C02
GSM2405164,F,2,9878820082,R04C02
GSM2405165,F,2,9878820082,R06C01
GSM2405166,F,2,9878820082,R02C02
GSM2405167,M,1,9878820083,R06C02
GSM2405168,M,1,9878820084,R01C02
GSM2405169,F,2,9878820083,R05C02
GSM2405176,F,2,9878820091,R01C02
GSM2405177,F,2,9878820106,R06C01
GSM2405179,M,1,9878820106,R06C02
GSM2405180,F,2,9878820104,R06C01
GSM2405187,M,1,9878820105,R02C02
GSM2405188,M,1,9878820105,R03C02
GSM2405189,F,2,9878820119,R01C01
GSM2405190,F,2,9878820117,R06C02
GSM2405194,F,2,9878820117,R04C02
GSM2405200,F,2,9878820119,R02C02
GSM2405212,F,2,9878820127,R06C01
GSM2405213,M,1,9878820156,R06C02
GSM2405214,F,2,9878820140,R03C01
GSM2405217,M,1,9878820140,R05C02
GSM2405222,M,1,9980102013,R01C01
GSM2405227,F,2,9878827210,R05C01
GSM2405245,M,1,9878827221,R05C02
GSM2405246,F,2,9878827225,R02C01
GSM2405265,M,1,9878827235,R05C02
GSM2405270,M,1,10006823022,R03C02
GSM2405272,F,2,10006823069,R02C01
GSM2405273,F,2,10006823069,R04C02
GSM2405280,M,1,10006823122,R05C02
GSM2405281,F,2,10006823123,R02C01
GSM2405290,F,2,10006823141,R01C02
GSM2405296,M,1,3999875055,R02C01
GSM2405297,F,2,3999875055,R01C02
GSM2405306,M,1,3999875057,R05C01
GSM2405309,F,2,10003886259,R03C01
GSM2405311,M,1,10003886258,R06C01
GSM2405313,F,2,10003886252,R04C02
GSM2405317,F,2,10003886256,R01C02
GSM2405320,M,1,10003886258,R02C02
GSM2405324,M,1,10006823144,R02C01
GSM2405325,M,1,10006823144,R01C02
GSM2405328,M,1,10006823155,R03C02
GSM2405329,M,1,10006823155,R04C02
GSM2405331,M,1,3999834021,R04C02
GSM2405333,M,1,3999834021,R05C01
GSM2405373,M,1,3999834063,R05C02
GSM2405375,M,1,3999834068,R03C02
GSM2405376,F,2,3999834070,R01C01
GSM2405377,M,1,3999834070,R01C02
GSM2405380,M,1,3999834089,R06C01
GSM2405383,F,2,3999834092,R06C02
GSM2405388,F,2,3999834094,R04C01
GSM2405427,M,1,3999834104,R04C01
GSM2405428,M,1,3999834105,R02C01
GSM2405433,F,2,3999834118,R01C02
GSM2405437,M,1,3999875071,R01C01
GSM2405439,F,2,3999875073,R02C01
GSM2405443,F,2,3999875076,R06C01
GSM2405444,F,2,3999875115,R01C01
GSM2405445,F,2,3999875115,R02C01
GSM2405446,F,2,3999875115,R01C02
GSM2405453,F,2,3999543050,R02C02
GSM2405457,M,1,3999547142,R02C02
GSM2405463,M,1,3999100033,R01C01
GSM2405465,M,1,3999100033,R06C02
GSM2405466,M,1,3999100034,R06C01
GSM2405467,F,2,3999100034,R03C02
GSM2405470,M,1,3999100065,R06C02
GSM2405472,F,2,3999112130,R01C02
GSM2405473,F,2,3999112130,R02C02
GSM2405477,F,2,3999112136,R06C02
GSM2405478,M,1,3999112137,R02C01
GSM2405489,M,1,3999308200,R01C01
GSM2405490,M,1,3999308200,R06C01
GSM2405498,M,1,3999308203,R02C02
GSM2405499,M,1,3999308203,R05C02
GSM2405500,M,1,3999112158,R04C01
GSM2405503,F,2,3999543047,R05C02
GSM2405505,F,2,3999547085,R02C01
GSM2405544,M,1,3998909073,R04C01
GSM2405559,F,2,3998952004,R02C01
GSM2405560,F,2,3998952004,R02C02
GSM2405561,F,2,3998952003,R04C02
GSM2405580,F,2,3999002049,R05C02
GSM2405581,F,2,3999002049,R06C02
GSM2405582,F,2,3999002051,R01C01
GSM2405583,M,1,3999002051,R04C01
GSM2405584,F,2,3999002051,R05C01
GSM2405642,F,2,101231000030,R03C02
GSM2940725,F,2,10003886252,R05C02
GSM2940727,M,1,10003886253,R03C02
GSM2940729,F,2,10003886253,R04C02
GSM2940732,M,1,10003886256,R05C02
GSM2940734,M,1,10003886258,R01C01
GSM2940735,M,1,10003886258,R01C02
GSM2940736,F,2,10003886258,R03C02
GSM2940737,M,1,10003886258,R04C02
GSM2940740,F,2,10003886259,R01C01
GSM2940742,F,2,10006823022,R05C02
GSM2940749,M,1,10006823024,R04C02
GSM2940756,M,1,10006823069,R04C01
GSM2940757,M,1,10006823069,R05C01
GSM2940764,M,1,10006823122,R03C01
GSM2940765,M,1,10006823122,R04C01
GSM2940767,F,2,10006823123,R02C02
GSM2940769,F,2,10006823123,R04C02
GSM2940772,M,1,10006823130,R01C02
GSM2940775,F,2,10006823130,R06C02
GSM2940778,M,1,10006823141,R02C01
GSM2940779,M,1,10006823141,R03C01
GSM2940786,F,2,10006823144,R04C01
GSM2940787,M,1,10006823144,R04C02
GSM2940805,F,2,101231000009,R02C01
GSM2940806,F,2,101231000009,R03C01
GSM2940807,F,2,101231000009,R04C01
GSM2940808,M,1,101231000009,R05C01
GSM2940810,M,1,101231000014,R04C01
GSM2940812,M,1,200277210030,R05C01
GSM2940813,F,2,200277210056,R01C01
GSM2940818,M,1,200277210056,R04C02
GSM2940820,M,1,200277210056,R05C02
GSM2940822,M,1,200277210073,R01C01
GSM2940838,M,1,200325530024,R05C01
GSM2940842,F,2,200325530048,R05C01
GSM2940850,M,1,200325530166,R01C01
GSM2940855,M,1,200325530166,R05C01
GSM2940856,F,2,200325530166,R05C02
GSM2940858,F,2,200360420061,R05C02
GSM2940863,F,2,200360420062,R06C01
GSM2940872,F,2,200362700196,R01C02
GSM2940876,M,1,200362700196,R04C01
GSM2940882,F,2,200394870010,R01C02
GSM2940883,M,1,200394870010,R03C01
GSM2940897,M,1,200394970064,R01C01
GSM2940898,F,2,200394970064,R02C01
GSM2940913,F,2,200400320088,R01C01
GSM2940917,M,1,200400320088,R03C02
GSM2940922,M,1,200406080086,R02C01
GSM2940928,F,2,200486890026,R01C02
GSM2940932,F,2,3998523002,R05C02
GSM2940938,F,2,3998523018,R04C02
GSM2940941,M,1,3998523019,R03C02
GSM2940949,F,2,3998523030,R02C02
GSM2940967,M,1,3998523056,R02C01
GSM2940968,M,1,3998523056,R02C02
GSM2940971,M,1,3998523056,R05C02
GSM2940972,F,2,3998523056,R06C01
GSM2940974,M,1,3998523057,R01C01
GSM2940979,M,1,3998523057,R05C01
GSM2940983,M,1,3998523058,R01C01
GSM2940985,M,1,3998523058,R03C01
GSM2940986,F,2,3998546128,R01C02
GSM2940988,M,1,3998546128,R02C02
GSM2940990,M,1,3998546128,R03C02
GSM2940991,M,1,3998546128,R04C01
GSM2940994,F,2,3998546128,R06C02
GSM2940995,F,2,3998546129,R01C01
GSM2940997,M,1,3998546129,R02C01
GSM2941001,F,2,3998546129,R04C01
GSM2941002,F,2,3998546129,R04C02
GSM2941007,F,2,3998546133,R01C01
GSM2941008,F,2,3998546133,R03C01
GSM2941009,M,1,3998546133,R04C01
GSM2941015,M,1,3998567085,R04C02
GSM2941016,M,1,3998567085,R05C02
GSM2941017,M,1,3998567085,R06C01
GSM2941018,F,2,3998567087,R02C01
GSM2941020,M,1,3998567087,R04C01
GSM2941022,M,1,3998567087,R05C02
GSM2941027,M,1,3998567088,R04C01
GSM2941033,M,1,3998568166,R01C01
GSM2941036,F,2,3998568166,R03C01
GSM2941045,M,1,3998568167,R04C01
GSM2941046,M,1,3998909013,R02C02
GSM2941053,M,1,3998909027,R04C01
GSM2941058,F,2,3998909050,R05C02
GSM2941060,M,1,3998909051,R03C01
GSM2941065,F,2,3998909062,R02C01
GSM2941071,F,2,3998909070,R02C02
GSM2941072,M,1,3998909070,R03C02
GSM2941074,F,2,3998909072,R01C02
GSM2941076,F,2,3998909072,R03C02
GSM2941077,M,1,3998909072,R04C01
GSM2941078,M,1,3998909072,R04C02
GSM2941085,F,2,3998909075,R02C02
GSM2941086,F,2,3998909075,R03C02
GSM2941094,M,1,3998909174,R04C02
GSM2941099,M,1,3998909181,R03C02
GSM2941105,F,2,3998909182,R04C02
GSM2941106,F,2,3998909182,R05C01
GSM2941108,M,1,3998909182,R06C02
GSM2941110,M,1,3998919099,R01C01
GSM2941115,M,1,3998919099,R06C02
GSM2941116,M,1,3998920094,R01C01
GSM2941117,M,1,3998920094,R02C01
GSM2941120,F,2,3998920120,R03C01
GSM2941126,F,2,3998998159,R01C02
GSM2941128,M,1,3998998159,R03C01
GSM2941131,M,1,3998998159,R04C02
GSM2941132,M,1,3998998159,R05C01
GSM2941140,F,2,3998998164,R05C01
GSM2941143,F,2,3998998187,R02C01
GSM2941150,M,1,3999002044,R03C01
GSM2941156,M,1,3999002049,R01C01
GSM2941158,F,2,3999002049,R02C01
GSM2941164,M,1,3999002051,R02C02
GSM2941165,F,2,3999078079,R01C01
GSM2941167,M,1,3999078079,R02C02
GSM2941171,M,1,3999078080,R04C02
GSM2941172,M,1,3999078080,R05C02
GSM2941174,M,1,3999078119,R01C01
GSM2941176,F,2,3999078119,R05C02
GSM2941178,M,1,3999078120,R02C02
GSM2941187,M,1,3999078123,R02C02
GSM2941192,F,2,3999078159,R05C02
GSM2941193,F,2,3999078159,R06C01
GSM2941201,F,2,3999095104,R01C01
GSM2941210,M,1,3999100100,R03C02
GSM2941215,M,1,3999100101,R03C01
GSM2941218,M,1,3999100101,R06C02
GSM2941225,F,2,3999543050,R04C01
GSM2941233,M,1,3999547142,R01C02
GSM2941234,M,1,3999547142,R03C02
GSM2941239,F,2,3999834001,R02C02
GSM2941244,F,2,3999834003,R01C02
GSM2941257,F,2,3999834068,R04C01
GSM2941258,F,2,3999834068,R04C02
GSM2941260,M,1,3999834068,R06C01
GSM2941261,M,1,3999834068,R06C02
GSM2941262,M,1,3999834070,R02C02
GSM2941266,F,2,3999834070,R05C01
GSM2941267,F,2,3999834070,R06C01
GSM2941268,M,1,3999834093,R05C02
GSM2941270,F,2,3999834094,R03C01
GSM2941275,M,1,3999834104,R03C01
GSM2941281,M,1,3999834115,R02C01
GSM2941284,M,1,3999834118,R05C02
GSM2941287,M,1,3999875055,R05C01
GSM2941288,M,1,3999875055,R06C01
GSM2941290,M,1,3999875056,R01C01
GSM2941292,F,2,3999875056,R02C01
GSM2941293,M,1,3999875056,R02C02
GSM2941296,M,1,3999875057,R02C01
GSM2941298,F,2,3999875071,R01C02
GSM2941300,M,1,3999875071,R04C01
GSM2941302,F,2,3999875071,R05C01
GSM2941310,F,2,3999875073,R06C02
GSM2941320,M,1,9297949046,R05C01
GSM2941321,M,1,9297949139,R05C02
GSM2941325,M,1,9305651060,R06C02
GSM2941335,M,1,9370847051,R01C02
GSM2941336,M,1,9370847051,R02C02
GSM2941338,M,1,9373550131,R02C01
GSM2941344,M,1,9373551042,R04C02
GSM2941345,F,2,9373551042,R05C02
GSM2941363,M,1,9379082039,R04C01
GSM2941365,M,1,9379082092,R04C01
GSM2941368,M,1,9379086132,R02C01
GSM2941371,F,2,9406921039,R03C01
GSM2941372,F,2,9406921039,R05C02
GSM2941373,F,2,9406921039,R06C02
GSM2941385,M,1,9406922161,R01C01
GSM2941386,F,2,9406922161,R01C02
GSM2941398,M,1,9420867051,R04C01
GSM2941401,M,1,9420867121,R02C02
GSM2941402,M,1,9420867121,R03C02
GSM2941406,F,2,9422491056,R02C01
GSM2941407,F,2,9422493146,R04C01
GSM2941411,F,2,9426021175,R03C02
GSM2941414,F,2,9444374133,R04C01
GSM2941418,M,1,9444375028,R01C02
GSM2941422,M,1,9444375033,R04C02
GSM2941424,M,1,9444375037,R01C01
GSM2941427,M,1,9444375113,R01C01
GSM2941430,M,1,9444375114,R05C02
GSM2941436,M,1,9513149129,R01C02
GSM2941439,F,2,9513149129,R03C02
GSM2941447,M,1,9533774021,R01C02
GSM2941450,M,1,9533774023,R02C02
GSM2941457,F,2,9533774033,R04C02
GSM2941459,F,2,9533774033,R06C02
GSM2941460,M,1,9533774041,R01C01
GSM2941462,F,2,9533774088,R02C02
GSM2941463,M,1,9533774088,R03C02
GSM2941468,M,1,9533774097,R05C01
GSM2941469,M,1,9534104007,R01C02
GSM2941473,M,1,9534104007,R06C01
GSM2941475,M,1,9534104008,R01C02
GSM2941478,M,1,9534104008,R03C02
GSM2941480,M,1,9534104008,R05C01
GSM2941481,F,2,9534104008,R06C01
GSM2941484,F,2,9534104010,R05C01
GSM2941487,F,2,9553932002,R06C02
GSM2941488,F,2,9553932008,R01C01
GSM2941489,F,2,9553932008,R02C01
GSM2941491,M,1,9553932008,R04C01
GSM2941493,F,2,9553932029,R02C01
GSM2941496,F,2,9553932030,R06C01
GSM2941500,M,1,9553932054,R04C01
GSM2941506,F,2,9611519051,R01C01
GSM2941510,F,2,9647455131,R05C02
GSM2941511,M,1,9647455131,R06C02
GSM2941525,M,1,9721366149,R01C02
GSM2941528,M,1,9721366149,R04C01
GSM2941532,M,1,9721366150,R02C01
GSM2941533,F,2,9721366150,R02C02
GSM2941537,M,1,9741779119,R02C01
GSM2941538,M,1,9741779119,R02C02
GSM2941541,M,1,9741779119,R04C01
GSM2941546,M,1,9741950008,R02C01
GSM2941558,M,1,9741950085,R02C01
GSM2941561,F,2,9741950085,R03C02
GSM2941562,F,2,9741950085,R04C01
GSM2941566,M,1,9741950095,R02C01
GSM2941567,M,1,9741950095,R02C02
GSM2941568,F,2,9741950095,R03C01
GSM2941569,M,1,9741950095,R03C02
GSM2941572,M,1,9741950095,R05C02
GSM2941587,M,1,9855358001,R04C01
GSM2941588,F,2,9855358003,R01C01
GSM2941589,F,2,9855358003,R01C02
GSM2941591,F,2,9855358003,R03C01
GSM2941594,M,1,9855358026,R02C02
GSM2941595,M,1,9855358026,R04C02
GSM2941601,F,2,9855358031,R02C01
GSM2941602,M,1,9855358031,R03C01
GSM2941604,F,2,9855358056,R03C01
GSM2941605,F,2,9855358056,R03C02
GSM2941608,M,1,9855358058,R02C02
GSM2941609,F,2,9855358058,R03C02
GSM2941613,F,2,9878820008,R02C02
GSM2941615,F,2,9878820008,R04C01
GSM2941616,M,1,9878820008,R05C01
GSM2941617,M,1,9878820017,R01C01
GSM2941618,M,1,9878820017,R02C01
GSM2941620,F,2,9878820017,R06C02
GSM2941621,M,1,9878820018,R01C02
GSM2941622,M,1,9878820018,R02C01
GSM2941625,M,1,9878820018,R04C02
GSM2941632,M,1,9878820066,R01C01
GSM2941633,F,2,9878820121,R01C01
GSM2941637,M,1,9878820123,R03C01
GSM2941640,M,1,9878820127,R01C02
GSM2941645,M,1,9878820140,R04C01
GSM2941648,F,2,9878820156,R01C01
GSM2941651,F,2,9878820156,R02C02
GSM2941653,F,2,9878820156,R03C02
GSM2941654,F,2,9878820156,R05C01
GSM2941657,M,1,9878827209,R04C02
GSM2941658,F,2,9878827209,R06C02
GSM2941660,F,2,9878827210,R01C02
GSM2941662,M,1,9878827210,R02C02
GSM2941663,M,1,9878827210,R03C01
GSM2941668,M,1,9878827210,R06C01
GSM2941670,M,1,9878827225,R01C02
GSM2941672,M,1,9878827225,R04C01
GSM2941687,F,2,9878827239,R06C02
GSM2941688,M,1,9878827240,R01C01
GSM2941695,F,2,9968646118,R03C01
GSM2941696,M,1,9968646118,R04C01
GSM2941697,M,1,9968646118,R04C02
GSM2941698,F,2,9968646118,R05C01
GSM2941700,M,1,9968646118,R06C02
GSM2941701,F,2,9968646164,R01C01
GSM2941702,F,2,9968646164,R01C02
GSM2941703,M,1,9968646164,R02C02
GSM2941704,M,1,9968646164,R03C02
GSM2941707,M,1,9968646165,R02C02
GSM2941710,F,2,9968646165,R05C01
GSM2941712,F,2,9968646165,R06C02
GSM2941717,F,2,9969477013,R02C02
GSM2941719,M,1,9969477013,R04C01
GSM2941722,M,1,9969477013,R06C01
GSM2941725,F,2,9969477014,R04C01
GSM2941726,F,2,9969477014,R04C02
GSM2941728,M,1,9969477014,R06C01
GSM2941730,F,2,9969477017,R01C01
GSM2941731,M,1,9969477017,R02C02
GSM2941732,F,2,9969477017,R03C01
GSM2941733,F,2,9969477017,R04C01
GSM2941738,M,1,9969477022,R02C01
GSM2941741,F,2,9969477022,R06C01
GSM2941746,M,1,9969477055,R04C01
GSM2941750,M,1,9969477057,R03C01
GSM2941753,M,1,9969477058,R02C01
GSM2941754,M,1,9969477058,R04C01
GSM2941756,M,1,9969477064,R05C02
GSM2941757,F,2,9969477064,R06C01
GSM2941758,M,1,9969477065,R01C02
GSM2941759,M,1,9969477065,R02C02
GSM2941761,M,1,9969477065,R06C01
GSM2941768,M,1,9969477074,R06C02
GSM2941770,M,1,9969477079,R04C01
GSM2941771,F,2,9969477079,R06C01
GSM2941773,M,1,9969477086,R02C01
GSM2941781,M,1,9969477088,R03C01
GSM2941783,F,2,9969477088,R05C02
GSM2941784,F,2,9969477088,R06C01
GSM2941786,M,1,9969477100,R04C01
GSM2941790,M,1,9969477102,R02C01
GSM2941794,M,1,9969477102,R05C01
GSM2941796,M,1,9969477104,R01C01
GSM2941799,M,1,9969477107,R03C02
GSM2941802,M,1,9969477108,R01C01
GSM2941807,M,1,9969477122,R04C01
GSM2941812,M,1,9969477123,R05C01
